patch_id,damage_iou
val_patch_00064,0.4045408653244243
val_patch_00515,0.40717299569468923
val_patch_00055,0.40758527827465174
val_patch_00453,0.4083339909998553
val_patch_00079,0.40919606708948913
val_patch_00542,0.4098914601637324
val_patch_00213,0.4135977336915204
val_patch_00226,0.4140233722772711
val_patch_00678,0.4142857142401884
val_patch_00350,0.41683035252334505
val_patch_00376,0.4201747418474934
val_patch_00129,0.4233918128159776
val_patch_00578,0.42488038273446116
val_patch_00097,0.4255754744207838
val_patch_00091,0.42573700698509326
val_patch_00653,0.4261311172570145
val_patch_00425,0.43109594817176716
val_patch_00335,0.43167017812472863
val_patch_00212,0.4327337565631461
val_patch_00503,0.43289689030827355
val_patch_00290,0.4361233479215587
val_patch_00484,0.4381348106907602
val_patch_00073,0.4391214945074195
val_patch_00056,0.4423548650496848
val_patch_00183,0.44668485351413423
val_patch_00474,0.44951140063815487
val_patch_00082,0.45589133089069833
val_patch_00215,0.45839057190303173
val_patch_00575,0.46099290763794576
val_patch_00636,0.4631254446179008
val_patch_00021,0.4701378253491367
val_patch_00043,0.47148075301786185
val_patch_00510,0.4755501222348548
val_patch_00077,0.4826388887213059
val_patch_00076,0.4857207261873633
val_patch_00622,0.48658764812934574
val_patch_00452,0.4866587557204837
val_patch_00028,0.48831530365439596
val_patch_00462,0.48879928313222226
val_patch_00386,0.49041095890179304
val_patch_00533,0.4905795218263346
val_patch_00491,0.49109858873739043
val_patch_00022,0.4913076341629202
val_patch_00448,0.4916030533600606
val_patch_00468,0.49922118376174285
val_patch_00411,0.4995531724642638
val_patch_00032,0.4996900185679051
val_patch_00691,0.4999999998188405
val_patch_00203,0.5038991454256574
val_patch_00427,0.5046197583331692
val_patch_00647,0.5066732575132638
val_patch_00686,0.5108307545700826
val_patch_00126,0.5119047618782657
val_patch_00165,0.512555886734305
val_patch_00114,0.5135699372623027
val_patch_00633,0.5137903860903238
val_patch_00140,0.5138036809027908
val_patch_00488,0.5140280560950559
val_patch_00644,0.515002344104196
val_patch_00153,0.5157073582111136
val_patch_00473,0.5168552569481747
val_patch_00508,0.5169258919929619
val_patch_00396,0.5172621530167419
val_patch_00361,0.5221211170346901
val_patch_00502,0.5225225224754484
val_patch_00206,0.5228397680656952
val_patch_00374,0.5249733935171016
val_patch_00512,0.5295651143437662
val_patch_00536,0.5301873698636299
val_patch_00182,0.5319981957590763
val_patch_00358,0.5351127374453257
val_patch_00027,0.5363560361763066
val_patch_00650,0.5379023883138212
